Capitales de Europa
Albania;Tirana
Alemania;Berlín
Andorra;Andorra la Vieja
Armenia;Ereván
Austria;Viena
Azerbaiyán;Bakú
Bélgica;Bruselas
Bielorrusia;Minsk
Bosnia y Herzegovina;Sarajevo
Bulgaria;Sofía
Chipre;Nicosia
Croacia;Zagreb
Dinamarca;Copenhague
Eslovaquia;Bratislava
Eslovenia;Liubliana
España;Madrid
Estonia;Tallin
Finlandia;Helsinki
Francia;París
Georgia;Tiflis
Grecia;Atenas
Hungría;Budapest
Irlanda;Dublín
Islandia;Reikiavik
Italia;Roma
Kazajistán;Astaná
Kosovo;Pristina
Letonia;Riga
Liechtenstein;Vaduz
Lituania;Vilna
Luxemburgo;Luxemburgo
Malta;La Valeta
Moldavia;Chisináu
Mónaco;Mónaco
Montenegro;Podgorica
Noruega;Oslo
Países Bajos;Ámsterdam
Polonia;Varsovia
Portugal;Lisboa
Reino Unido;Londres
República Checa;Praga
Rumanía;Bucarest
Rusia;Moscú
San Marino;San Marino
Serbia;Belgrado
Suecia;Estocolmo
Suiza;Berna
Turquía;Ankara
Ucrania;Kiev
Ciudad del Vaticano;Ciudad del Vaticano
